city,imageLink,iamgePath,nickName
北京市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/11/3608097_20180511194638_big.jpg,/home/python/Desktop/scrapy2/douyu/images/是贝塔呢,是贝塔呢
长沙市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/02/18/3775983_20180218144423_big.jpg,/home/python/Desktop/scrapy2/douyu/images/暴走的小九x,暴走的小九x
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/19/4805296_20180519233421_big.jpg,/home/python/Desktop/scrapy2/douyu/images/柚汁炸七七,柚汁炸七七
嘉兴市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/20/4464358_20180520213702_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小懒猫阿新,小懒猫阿新
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/22/4547897_20180422220246_big.jpg,/home/python/Desktop/scrapy2/douyu/images/阿秋君君君,阿秋君君君
武汉市,https://rpic.douyucdn.cn/amrpic-180523/1272264_1738.jpg,/home/python/Desktop/scrapy2/douyu/images/菁菁Krystal,菁菁Krystal
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/10/4914606_20180510175213_big.jpg,/home/python/Desktop/scrapy2/douyu/images/焦糖世家的樱桃,焦糖世家的樱桃
北京市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/23/5008589_20180523000912_big.jpg,/home/python/Desktop/scrapy2/douyu/images/想永远做小孩的笑笑,想永远做小孩的笑笑
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/23/3480193_20180523134133_big.jpg,/home/python/Desktop/scrapy2/douyu/images/可爱兔小姐姐,可爱兔小姐姐
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/18/4894481_20180518152353_big.jpg,/home/python/Desktop/scrapy2/douyu/images/嘉文sunny,嘉文sunny
南昌市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/14/4735901_20180514181459_big.jpg,/home/python/Desktop/scrapy2/douyu/images/你的女孩ToT,你的女孩ToT
长春市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/20/4816686_20180520204911_big.jpg,/home/python/Desktop/scrapy2/douyu/images/何平板,何平板
赣州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/16/4910599_20180516142613_big.jpg,/home/python/Desktop/scrapy2/douyu/images/做你的8,做你的8
宜春市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/21/4774452_20180521015159_big.jpg,/home/python/Desktop/scrapy2/douyu/images/西瓜很甜耶,西瓜很甜耶
郑州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/20/5011977_20180520231350_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Aura梓馨,Aura梓馨
长沙市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/13/4906973_20180513185011_big.jpg,/home/python/Desktop/scrapy2/douyu/images/Mila小米乐,Mila小米乐
大连市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/11/4908162_20180511092308_big.jpg,/home/python/Desktop/scrapy2/douyu/images/云菇凉haha,云菇凉haha
重庆市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/4705661_20180522014411_big.jpg,/home/python/Desktop/scrapy2/douyu/images/顾玲心,顾玲心
徐州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/11/231843_20180511233411_big.jpg,/home/python/Desktop/scrapy2/douyu/images/蹦蹦茶丶,蹦蹦茶丶
西安市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/05/02/c5786d02f07c81c028162dfd94d7a661_small.jpg,/home/python/Desktop/scrapy2/douyu/images/阿娇呀灬,阿娇呀灬
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/07/4887890_20180507173913_big.jpg,/home/python/Desktop/scrapy2/douyu/images/粉樱桃灬,粉樱桃灬
